Quarter,"National
Unemployment Rate SA (%)","Dublin
Unemployed SA (000)","Dublin
Unemployment Rate SA (%)","Dublin
Employed SA (000)","QoQ
Dublin Employed",QoQ Dublin Unemployment Rate,"YoY
Dublin Employed","%YoY
Dublin Unemployed ",Column2,"Dublin - National
Unemployment Rate SA (%)",,,,,,,,,,,
Q3 04,4.5%,25.7,4.5%,573.9,6.1,0.3%,10.847,-0.26%,,0.0%,,,,,,,,,,,
Q4 04,4.7%,26.1,4.3%,580.0,6.1,-0.2%,13.072,0.09%,,-0.4%,,,,,,,,,,,
Q1 05,4.4%,26.5,4.4%,583.9,3.8,0.1%,17.685,-0.52%,,0.0%,,,,,,,,,,,
Q2 05,4.9%,30.3,4.7%,593.8,9.9,0.3%,25.992,0.43%,,-0.2%,,,,,,,,,,,
Q3 05,4.7%,29.3,4.7%,599.1,5.3,0.0%,25.213,0.17%,,0.0%,,,,,,,,,,,
Q4 05,4.6%,30.3,4.8%,604.5,5.4,0.1%,24.435,0.43%,,0.2%,,,,,,,,,,,
Q1 06,4.7%,31.5,4.9%,614.2,9.7,0.1%,30.287,0.46%,,0.2%,,,,,,,,,,,
Q2 06,4.7%,32.1,4.8%,613.3,-0.9,0.0%,19.495,0.12%,,0.1%,,,,,,,,,,,
Q3 06,5.0%,30.6,4.8%,624.0,10.8,0.0%,24.966,0.14%,,-0.2%,,,,,,,,,,,
Q4 06,4.7%,31.4,4.8%,635.9,11.9,-0.1%,31.471,0.01%,,0.1%,,,,,,,,,,,
Q1 07,4.9%,31.9,4.8%,645.3,9.3,0.0%,31.117,-0.07%,,-0.1%,,,,,,,,,,,
Q2 07,5.0%,34.6,4.9%,646.2,0.9,0.1%,32.883,0.10%,,-0.1%,,,,,,,,,,,
Q3 07,4.9%,32.8,4.9%,652.0,5.9,0.0%,27.989,0.04%,,0.0%,,,,,,,,,,,
Q4 07,5.2%,33.5,4.8%,652.5,0.5,0.0%,16.566,0.07%,,-0.4%,,,,,,,,,,,
Q1 08,5.4%,35.3,5.3%,652.6,0.1,0.4%,7.348,0.50%,,-0.1%,,,,,,,,,,,
Q2 08,5.9%,35.9,5.3%,652.7,0.1,0.0%,6.587,0.40%,,-0.6%,,,,,,,,,,,
Q3 08,7.4%,46.1,6.8%,645.6,-7.2,1.5%,-6.454,1.94%,,-0.6%,,,,,,,,,,,
Q4 08,8.6%,50.6,7.4%,625.5,-20.1,0.5%,-27.033,2.51%,,-1.2%,,,,,,,,,,,
Q1 09,10.9%,62.3,9.3%,610.8,-14.7,1.9%,-41.857,3.97%,,-1.6%,,,,,,,,,,,
Q2 09,12.6%,71.2,10.3%,596.8,-14.0,1.0%,-55.949,4.97%,,-2.3%,,,,,,,,,,,
Q3 09,13.3%,72.9,11.2%,580.6,-16.2,0.9%,-64.994,4.35%,,-2.1%,,,,,,,,,,,
Q4 09,13.8%,76.8,11.5%,579.2,-1.4,0.4%,-46.220,4.16%,,-2.3%,,,,,,,,,,,
Q1 10,13.8%,74.1,11.6%,573.9,-5.3,0.1%,-36.813,2.35%,,-2.2%,,,,,,,,,,,
Q2 10,14.3%,76.4,12.1%,568.9,-5.0,0.5%,-27.854,1.83%,,-2.2%,,,,,,,,,,,
Q3 10,14.6%,75.9,12.2%,562.9,-6.1,0.0%,-17.724,1.02%,,-2.4%,,,,,,,,,,,
Q4 10,15.6%,87.6,12.9%,554.8,-8.1,0.7%,-24.453,1.38%,,-2.7%,,,,,,,,,,,
Q1 11,15.2%,82.9,13.0%,553.5,-1.3,0.1%,-20.473,1.39%,,-2.2%,,,,,,,,,,,
Q2 11,15.0%,79.4,12.9%,560.3,6.8,-0.1%,-8.654,0.78%,,-2.1%,,,,,,,,,,,
Q3 11,15.6%,83.4,13.6%,545.3,-15.0,0.7%,-17.595,1.42%,,-2.0%,,,,,,,,,,,
Q4 11,15.8%,87.0,13.1%,549.2,3.9,-0.5%,-5.591,0.23%,,-2.7%,,,,,,,,,,,
Q1 12,16.0%,85.1,13.6%,546.7,-2.5,0.5%,-6.746,0.60%,,-2.4%,,,,,,,,,,,
Q2 12,15.6%,79.6,12.7%,549.2,2.4,-0.9%,-11.138,-0.22%,,-2.9%,,,,,,,,,,,
Q3 12,15.5%,84.9,13.3%,550.5,1.4,0.6%,5.240,-0.30%,,-2.2%,,,,,,,,,,,
Q4 12,14.9%,72.2,11.4%,556.8,6.2,-1.9%,7.561,-1.73%,,-3.5%,,,,,,,,,,,
Q1 13,14.6%,72,11.6%,553.4,-3.4,0.2%,6.634,-2.00%,,-3.0%,,,,,,,,,,,
Q2 13,14.4%,79.3,12.4%,562.0,8.6,0.8%,12.797,-0.30%,,-2.0%,,,,,,,,,,,
Q3 13,13.4%,70.1,10.9%,574.7,12.7,-1.5%,24.156,-2.40%,,-2.5%,,,,,,,,,,,
Q4 13,12.7%,66.2,10.3%,575.7,1.0,-0.6%,18.954,-1.10%,,-2.4%,,,,,,,,,,,
Q1 14,12.9%,69.4,10.7%,584.4,8.7,0.4%,31.044,-0.90%,,-2.2%,,,,,,,,,,,
Q2 14,12.2%,67.5,10.3%,589.5,5.1,-0.4%,27.519,-2.10%,,-1.9%,,,,,,,,,,,
Q3 14,11.7%,70.4,10.6%,591.8,2.3,0.3%,17.141,-0.30%,,-1.1%,,,,,,,,,,,
Q4 14,10.8%,59.1,8.9%,603.9,12.1,-1.7%,28.156,-1.40%,,-1.9%,,,,,,,,,,,
Q1 15,10.7%,59.4,9.0%,603.7,-0.2,0.1%,19.270,-1.70%,,-1.7%,,,,,,,,,,,
Q2 15,10.0%,54.4,8.2%,609.5,5.8,-0.8%,20.048,-2.10%,,-1.8%,,,,,,,,,,,
Q3 15,9.6%,55.8,8.3%,620.2,10.7,0.1%,28.421,-2.30%,,-1.3%,,,,,,,,,,,
Q4 15,9.5%,52.5,7.7%,626.5,6.3,-0.6%,22.640,-1.20%,,-1.8%,,,,,,,,,,,
Q1 16,9.0%,48.5,7.1%,637.1,10.6,-0.6%,33.412,-1.90%,,-1.9%,,,,,,,,,,,
Q2 16,8.8%,58.1,8.3%,640.1,3.0,1.2%,30.547,0.10%,,-0.5%,,,,,,,,,,,
Q3 16,8.2%,54,7.7%,648.1,8.0,-0.6%,27.826,-0.60%,,-0.5%,,,,,,,,,,,
Q4 16,7.6%,43.8,6.3%,651.2,3.1,-1.4%,24.655,-1.40%,,-1.3%,,,,,,,,,,,
Q1 17,7.3%,43.3,6.3%,652.5,1.4,0.0%,15.454,-0.80%,,-1.0%,,,,,,,,,,,
Q2 17,6.6%,43.7,6.3%,652.4,-0.2,0.0%,12.304,-2.00%,,-0.3%,,,,,,,,,,,
Q3 17,6.6%,44.8,6.4%,660.0,7.7,0.1%,11.994,-1.30%,,-0.2%,,,,,,,,,,,
Q4 17,6.5%,43.7,6.1%,670.8,10.7,-0.3%,19.616,-0.20%,,-0.4%,,,,,,,,,,,
Q1 18,5.9%,38.2,5.3%,683.0,12.3,-0.8%,30.494,-1.00%,,-0.6%,,,,,,,,,,,
Q2 18,5.8%,38.6,5.3%,689.8,6.8,0.0%,37.444,-1.00%,,-0.5%,,,,,,,,,,,
Q3 18,5.8%,39.1,5.3%,692.6,2.8,0.0%,32.595,-1.10%,,-0.5%,,,,,,,,,,,
Q4 18,5.8%,38,5.2%,697.2,4.6,-0.1%,26.454,-0.90%,,-0.6%,,,,,,,,,,,
Q1 19,5.0%,32.2,4.4%,705.4,8.1,-0.8%,22.321,-0.90%,,-0.6%,,,,,,,,,,,
Q2 19,5.1%,33,4.4%,710.9,5.5,0.0%,21.052,-0.90%,8.3%,-0.7%,,,,,,,,,,,
Q3 19,5.1%,33.7,4.5%,714.6,3.8,0.1%,21.979,-0.80%,8.8%,-0.6%,,,,,,,,,,,
Q4 19,4.9%,33.7,4.5%,722.8,8.2,0.0%,25.598,-0.70%,6.9%,-0.4%,,,,,,,,,,,
Q1 20,4.9%,34.8,4.7%,719.1,-3.7,0.2%,13.772,0.30%,6.9%,-0.2%,,,,,,,,,,,
Q2 20,5.1%,38.7,5.5%,658.3,-60.8,0.8%,-52.542,1.10%,6.9%,0.4%,,,,,,,,,,,
Q3 20,7.2%,64,8.7%,676.2,17.9,3.2%,-38.447,4.20%,2.2%,1.5%,,,,,,,,,,,
Q4 20,6.3%,47.4,6.5%,685.3,9.1,-2.2%,-37.523,2.00%,3.8%,0.2%,,,,,,,,,,,
Q1 21,7.3%,57.1,7.8%,678.5,-6.8,1.3%,-40.655,3.10%,2.9%,0.5%,,,,,,,,,,,
Q2 21,7.0%,56.7,7.3%,714.6,36.1,-0.5%,56.258,1.80%,3.0%,0.3%,,,,,,,,,,,
Q3 21,5.5%,49.5,6.2%,751.5,36.9,-1.1%,75.315,-2.50%,4.4%,0.7%,,,,,,,,,,,
Q4 21,5.2%,44,5.4%,775.6,24.1,-0.8%,90.264,-1.10%,3.5%,0.2%,,,,,,,,,,,
Q1 22,5.0%,47.2,5.8%,773.7,-1.9,0.4%,95.176,-2.00%,3.2%,0.8%,,,,,,,,,,,
Q2 22,4.2%,37.9,4.6%,777.0,3.4,-1.2%,62.432,-2.70%,3.6%,0.4%,,,,,,,,,,,
Q3 22,4.2%,41.5,5.1%,780.5,3.5,0.5%,29.006,-1.10%,3.2%,0.9%,,,,,,,,,,,
Q4 22,4.4%,38.4,4.7%,785.9,5.4,-0.4%,10.316,-0.70%,3.0%,0.3%,,,,,,,,,,,
Q1 23,4.2%,42.4,5.1%,797.4,11.5,0.4%,23.715,-0.70%,2.0%,0.9%,,,,,,,,,,,
Q2 23,4.1%,42.2,5.0%,801.0,3.6,-0.1%,23.964,0.40%,3.3%,0.9%,,,,,,,,,,,
Q3 23,4.4%,42,5.0%,791.8,-9.1,0.0%,11.350,-0.10%,2.7%,0.6%,,,,,,,,,,,
Q4 23,4.5%,39.7,4.7%,804.4,12.6,-0.3%,18.521,0.00%,1.6%,0.2%,,,,,,,,,,,
Q1 24,4.3%,39.2,4.6%,819.8,15.4,-0.1%,22.395,-0.50%,1.7%,0.3%,,,,,,,,,,,
Q2 24,4.3%,40.8,4.7%,828.0,8.2,0.1%,26.976,-0.30%,1.6%,0.4%,,,,,,,,,,,
Q3 24,4.3%,42.8,4.9%,833.4,5.4,0.2%,41.539,-0.10%,1.5%,0.6%,,,,,,,,,,,
Q4 24,4.3%,39.8,4.6%,827.1,-6.3,-0.3%,22.719,-0.10%,1.5%,0.3%,,,,,,,,,,,
Q1 25,4.5%,37.7,4.3%,844.0,16.9,-0.3%,24.267,-0.30%,1.0%,-0.2%,,,,,,,,,,,
Q2 25,4.6%,42.9,4.9%,842.3,-1.7,0.6%,14.341,0.17%,0.4%,0.3%,,,,,,,,,,,
Q3 25,5.1%,46.3,5.2%,836.6,-5.7,0.3%,3.207,0.31%,0.1%,0.1%,,,,,,,,,,,
Q4 25,4.6%,43.6,5.0%,840.6,4.0,-0.2%,13.481,0.40%,0.2%,0.4%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
